,id_full_season,player_name,games_full_season,time_full_season,goals_full_season,xG_full_season,assists_full_season,xA_full_season,shots_full_season,key_passes_full_season,yellow_cards_full_season,red_cards_full_season,position,team_title,npg_full_season,npxG_full_season,xGChain_full_season,xGBuildup_full_season,fpl_id
0,1250.0,Mohamed Salah,20.0,1786.0,16.0,15.608175069093704,9.0,6.22314802929759,80.0,40.0,1.0,0.0,F,Liverpool,14.0,13.324668571352959,22.21259716153145,7.717494197189808,233.0
1,6854.0,Diogo Jota,20.0,1487.0,10.0,12.501362554728985,1.0,3.721017401665449,58.0,23.0,1.0,0.0,F S,Liverpool,10.0,12.501362554728985,18.975039415061474,5.526300131343305,240.0
2,755.0,Jamie Vardy,16.0,1325.0,9.0,6.063936270773411,1.0,1.183594960719347,36.0,14.0,2.0,0.0,F S,Leicester,9.0,6.063936270773411,7.677956260740757,1.25945988856256,205.0
3,453.0,Son Heung-Min,17.0,1499.0,8.0,6.958429858088493,3.0,3.3822450675070286,44.0,33.0,0.0,0.0,F M,Tottenham,8.0,6.958429858088493,11.58835968375206,3.5982557721436024,359.0
4,531.0,Michail Antonio,21.0,1842.0,8.0,9.476286508142948,6.0,4.611624114215374,56.0,36.0,4.0,1.0,F S,West Ham,8.0,8.715117610991001,16.13105996698141,6.068427070975304,413.0
5,838.0,Sadio Mané,20.0,1713.0,8.0,10.503094624727964,1.0,3.385883605107665,61.0,20.0,2.0,0.0,F S,Liverpool,8.0,10.503094624727964,18.285370528697968,7.227718977257609,230.0
6,2371.0,Cristiano Ronaldo,16.0,1300.0,8.0,9.91887341439724,3.0,1.6593726500868797,57.0,12.0,4.0,0.0,F S,Manchester United,6.0,8.39653579890728,11.537003859877586,2.896052235737443,
7,7230.0,Emile Smith-Rowe,18.0,1208.0,8.0,3.4808948393911123,2.0,2.218204578384757,25.0,20.0,0.0,0.0,M S,Arsenal,8.0,3.4808948393911123,6.609001308679581,2.395720422267914,21.0
8,8026.0,Raphinha,18.0,1542.0,8.0,5.4310131296515465,2.0,3.7271770127117634,55.0,36.0,4.0,0.0,F M,Leeds,5.0,3.147506585344672,7.936012044548988,3.4009968945756555,196.0
9,9301.0,Emmanuel Dennis,18.0,1407.0,8.0,3.6232672035694122,5.0,3.1260361690074205,36.0,20.0,6.0,0.0,F M S,Watford,8.0,3.6232672035694122,7.466962988488376,1.7310731587931514,450.0
10,618.0,Raheem Sterling,18.0,1170.0,7.0,7.855585293844342,1.0,3.1064493879675865,35.0,25.0,0.0,0.0,F M S,Manchester City,5.0,6.3332476038485765,11.520762711763382,4.739501483738422,255.0
11,1228.0,Bruno Fernandes,19.0,1606.0,7.0,3.7534835431724787,3.0,4.795831934548914,41.0,48.0,6.0,0.0,M S,Manchester United,7.0,2.9923147056251764,12.06390556693077,6.195090927183628,277.0
12,3621.0,Neal Maupay,18.0,1378.0,7.0,5.969435904175043,1.0,1.5493844375014305,34.0,15.0,4.0,0.0,F S,Brighton,6.0,5.2082670368254185,8.072875656187534,2.082597767934203,63.0
13,3635.0,Bernardo Silva,21.0,1804.0,7.0,5.307072073221207,1.0,4.626493373885751,26.0,31.0,5.0,0.0,F M,Manchester City,7.0,5.307072073221207,17.414230927824974,9.21279175952077,261.0
14,7768.0,Mason Mount,19.0,1253.0,7.0,5.075439341366291,5.0,4.181096892803907,39.0,29.0,2.0,0.0,F M S,Chelsea,6.0,4.314270563423634,9.263258874416351,3.365276198834181,138.0
15,9040.0,Conor Gallagher,18.0,1582.0,7.0,5.880581872537732,3.0,3.764075346291065,35.0,32.0,4.0,0.0,M,Crystal Palace,7.0,5.880581872537732,10.821578651666641,3.720407783985138,144.0
16,447.0,Kevin De Bruyne,16.0,1008.0,6.0,2.564228894189,1.0,4.552018567919731,40.0,38.0,0.0,0.0,M S,Manchester City,6.0,2.564228894189,8.471275638788939,4.423335233703256,251.0
17,468.0,Callum Wilson,15.0,1201.0,6.0,5.126593586988747,0.0,0.44315034337341785,27.0,8.0,4.0,0.0,F S,Newcastle United,5.0,4.365424727089703,3.799769224599004,0.6096092024818063,296.0
18,750.0,Riyad Mahrez,16.0,823.0,6.0,5.302895089611411,4.0,3.1927004428580403,33.0,27.0,0.0,0.0,F M S,Manchester City,4.0,3.7805573474615812,9.497826043516397,3.9983237739652395,254.0
19,843.0,James Ward-Prowse,19.0,1692.0,6.0,3.1792855728417635,2.0,2.37029280513525,29.0,34.0,3.0,1.0,M,Southampton,3.0,0.8957790341228247,5.639192972332239,4.600095892325044,341.0
20,1389.0,Jorginho,18.0,1373.0,6.0,5.058969281613827,1.0,2.0911897979676723,12.0,14.0,3.0,0.0,M S,Chelsea,0.0,0.4919562339782715,10.26681286841631,9.529445596039295,123.0
21,1776.0,Jarrod Bowen,22.0,1872.0,6.0,9.4248849991709,7.0,4.272117039188743,56.0,28.0,2.0,0.0,F M S,West Ham,6.0,9.4248849991709,15.324920825660229,3.9437790727242827,420.0
22,3278.0,Maxwel Cornet,10.0,623.0,6.0,1.617438644170761,0.0,0.5860527213662863,17.0,5.0,2.0,0.0,F M S,Burnley,6.0,1.617438644170761,3.1468030139803886,1.6239430643618107,
23,7322.0,Bukayo Saka,20.0,1508.0,6.0,5.060035768896341,4.0,4.158592641353607,42.0,32.0,3.0,0.0,M S,Arsenal,6.0,5.060035768896341,10.8730106074363,4.311633080244064,22.0
