,id_full_season,player_name,games_full_season,time_full_season,goals_full_season,xG_full_season,assists_full_season,xA_full_season,shots_full_season,key_passes_full_season,yellow_cards_full_season,red_cards_full_season,position,team_title,npg_full_season,npxG_full_season,xGChain_full_season,xGBuildup_full_season,fpl_id
25,843.0,James Ward-Prowse,18.0,1602.0,5.0,3.101359585300088,2.0,2.3487269282341003,26.0,33.0,2.0,1.0,M,Southampton,2.0,0.8178530465811491,5.363833758980036,4.341944897547364,341.0
26,1228.0,Bruno Fernandes,18.0,1516.0,5.0,3.4035466108471155,3.0,4.70817678514868,39.0,47.0,5.0,0.0,M S,Manchester United,5.0,2.6423777732998133,11.58740907907486,6.143256202340126,277.0
27,1776.0,Jarrod Bowen,21.0,1782.0,5.0,8.147751176729798,7.0,4.272117039188743,51.0,28.0,2.0,0.0,F M S,West Ham,5.0,8.147751176729798,14.411520950496197,3.9437790727242827,420.0
28,3585.0,Said Benrahma,20.0,1478.0,5.0,3.693391740322113,4.0,3.2042170017957687,43.0,21.0,0.0,0.0,F M S,West Ham,5.0,3.693391740322113,9.293101031333208,3.028942249715328,419.0
29,3697.0,Odsonne Edouard,18.0,1114.0,5.0,5.645562145859003,4.0,1.5659492742270231,33.0,15.0,1.0,0.0,F M S,Crystal Palace,4.0,4.884393248707056,7.796434756368399,1.5932310298085213,
30,5675.0,Ismaila Sarr,12.0,1039.0,5.0,3.5062892623245716,0.0,1.1350580602884293,27.0,11.0,1.0,0.0,F M,Watford,5.0,2.7451204247772694,4.373906381428242,1.1853626789525151,399.0
31,5956.0,Youri Tielemans,14.0,1175.0,5.0,2.713506992906332,2.0,2.7740789353847504,29.0,23.0,1.0,0.0,M S,Leicester,4.0,1.9523381255567074,6.914870128035545,3.0609664134681225,210.0
32,6055.0,Phil Foden,14.0,1006.0,5.0,4.4752834141254425,3.0,4.124836008995771,28.0,23.0,0.0,0.0,F S,Manchester City,5.0,4.4752834141254425,10.597647532820702,3.911015596240759,265.0
33,6818.0,James Maddison,18.0,1187.0,5.0,3.061262859031558,3.0,2.5411145240068436,36.0,19.0,2.0,0.0,F M S,Leicester,5.0,3.061262859031558,6.526491213589907,2.364159293472767,212.0
34,7696.0,Teemu Pukki,19.0,1659.0,5.0,5.112131383270025,0.0,0.9630150180310011,31.0,12.0,2.0,0.0,F,Norwich,3.0,3.589830469340086,4.531011778861284,0.21378571260720491,315.0
35,8384.0,Armando Broja,16.0,801.0,5.0,2.991432210430503,0.0,0.1280621401965618,20.0,2.0,1.0,0.0,F S,Southampton,5.0,2.991432210430503,3.4040613528341055,0.6240866845473647,
36,8865.0,Ollie Watkins,16.0,1360.0,5.0,5.792723838239908,1.0,0.8949778378009796,34.0,15.0,3.0,0.0,F S,Aston Villa,5.0,5.792723838239908,8.1923996694386,2.1658492870628834,40.0
37,101.0,Allan Saint-Maximin,19.0,1634.0,4.0,3.6532459892332554,3.0,3.021504322066903,40.0,27.0,2.0,0.0,F M S,Newcastle United,4.0,3.6532459892332554,8.668164791539311,2.20369327487424,307.0
38,314.0,Ilkay Gündogan,15.0,1069.0,4.0,6.1912258714437485,3.0,2.949210638180375,31.0,24.0,1.0,0.0,M S,Manchester City,4.0,6.1912258714437485,12.697225008159876,4.7147685289382935,250.0
39,318.0,Pierre-Emerick Aubameyang,14.0,1047.0,4.0,6.893220115453005,1.0,0.8014161214232445,34.0,9.0,3.0,0.0,F S,Arsenal,4.0,5.370882365852594,5.4393598940223455,0.963660548441112,4.0
40,482.0,Roberto Firmino,11.0,429.0,4.0,3.6510005965828896,2.0,0.8183626551181078,13.0,9.0,0.0,0.0,F S,Liverpool,4.0,3.6510005965828896,7.0211982652544975,2.8561748638749123,228.0
41,535.0,Manuel Lanzini,15.0,673.0,4.0,2.011451417580247,1.0,1.6218708753585815,10.0,13.0,0.0,0.0,M S,West Ham,2.0,0.48911371268332005,5.014827772974968,4.883624281734228,416.0
