element,Mean,Std,player,CV,second_name,position,ict_index,minutes,now_cost,team,total_FDR_so_far,next_four_fixtures_FDR,number_of_games
135,9.0,4.381780460041329,135,0.4868644955601476,Chilwell,Defender,54.0,540,5.6,Chelsea,73,3,1
233,8.476190476190476,5.715059471423265,233,0.6742485893252167,Salah,Midfielder,287.2,1813,12.8,Liverpool,66,6,3
681,8.333333333333334,6.8068592855540455,681,0.8168231142664854,Coutinho Correia,Midfielder,23.6,172,7.2,Aston Villa,69,7,3
237,7.142857142857143,4.198639235344165,237,0.587809492948183,Alexander-Arnold,Defender,198.2,1863,8.5,Liverpool,66,6,3
268,6.5,7.681145747868608,268,1.1817147304413242,Torres,Midfielder,32.3,303,6.7,Man City,70,8,3
359,6.388888888888889,3.397904005999423,359,0.531845844417301,Son,Midfielder,166.8,1573,10.7,Spurs,62,12,4
256,6.130434782608695,4.901802523989489,256,0.7995848088777181,Cancelo,Defender,156.9,2057,7.2,Man City,70,8,3
234,5.764705882352941,3.8653818013992143,234,0.6705254145284352,Robertson,Defender,117.6,1484,7.1,Liverpool,66,6,3
142,5.6875,6.906217005954368,142,1.214279913134834,James,Defender,107.6,1115,6.2,Chelsea,73,3,1
240,5.681818181818182,4.1791587628813485,240,0.7355319422671174,Jota,Midfielder,188.8,1631,8.5,Liverpool,66,6,3
678,5.666666666666667,3.214550253664318,678,0.5672735741760561,Trippier,Defender,21.9,270,5.0,Newcastle,66,9,3
252,5.625,3.50255009141299,252,0.6226755718067538,Stones,Defender,21.9,591,5.2,Man City,70,8,3
420,5.625,4.261174567610693,420,0.7575421453530121,Bowen,Midfielder,192.2,2038,6.9,West Ham,68,8,3
16,5.5,4.242640687119285,16,0.77138921583987,Tierney,Defender,69.0,1376,5.1,Arsenal,64,5,2
251,5.388888888888889,4.692157272436746,251,0.870709596947025,De Bruyne,Midfielder,158.4,1182,12.2,Man City,70,8,3
259,5.35,3.674592709260084,259,0.6868397587402026,Laporte,Defender,76.7,1722,5.8,Man City,70,8,3
501,5.333333333333333,3.0550504633038935,501,0.5728219618694801,Sarr,Defender,8.3,270,4.9,Chelsea,73,3,1
559,5.315789473684211,3.18071675323778,559,0.5983526565496814,Ramsdale,Goalkeeper,44.4,1710,5.1,Arsenal,64,5,2
229,5.238095238095238,3.9357942261348198,229,0.7513788977166475,van Dijk,Defender,85.6,1890,6.7,Liverpool,66,6,3
23,5.157894736842105,4.752346296476871,23,0.9213732615618423,Magalhães,Defender,76.5,1656,5.3,Arsenal,64,5,2
254,5.117647058823529,4.211329257805314,254,0.8229034181918431,Mahrez,Midfielder,131.2,905,8.6,Man City,70,8,3
144,5.1,4.865561037591278,144,0.9540315759982899,Gallagher,Midfielder,157.2,1749,6.2,Crystal Palace,73,10,4
265,5.0625,4.9053542175871465,265,0.9689588577949919,Foden,Midfielder,134.5,1165,8.0,Man City,70,8,3
138,4.9523809523809526,5.58100520046515,138,1.1269337424016168,Mount,Midfielder,170.5,1433,7.5,Chelsea,73,3,1
205,4.9375,4.186784764788688,205,0.8479564080584684,Vardy,Forward,105.9,1320,10.3,Leicester,65,9,3
230,4.85,2.996050031203365,230,0.6177422744749207,Mané,Midfielder,183.8,1710,11.7,Liverpool,66,6,3
