element,Mean,Std,player,CV,second_name,position,ict_index,minutes,now_cost,team,total_FDR_so_far,next_four_fixtures_FDR,number_of_games
261,4.826086956521739,3.773739089996497,261,0.7819459375668417,Veiga de Carvalho e Silva,Midfielder,174.0,1973,7.4,Man City,70,8,3
129,4.75,2.753785273643051,129,0.5797442681353792,Arrizabalaga,Goalkeeper,9.6,360,4.7,Chelsea,73,3,1
450,4.75,4.643898090363764,450,0.9776627558660556,Dennis,Forward,140.3,1553,6.2,Watford,65,12,4
262,4.7272727272727275,3.2976444433047774,262,0.697578632237549,Gato Alves Dias,Defender,80.9,1861,6.3,Man City,70,8,3
196,4.7,2.9397457820631185,196,0.6254778259708763,Dias Belloli,Midfielder,166.4,1708,6.5,Leeds,65,15,4
156,4.666666666666667,5.507570547286102,156,1.1801936887041646,Butland,Goalkeeper,9.2,270,4.4,Crystal Palace,73,10,4
235,4.666666666666667,3.511884584284246,235,0.7525466966323384,Origi,Forward,16.8,38,4.8,Liverpool,66,6,3
21,4.6,3.63318042491699,21,0.7898218315036936,Smith Rowe,Midfielder,116.0,1299,5.8,Arsenal,64,5,2
121,4.6,4.185186910244775,121,0.90982324135756,Emiliano da Silva,Defender,81.8,1642,5.6,Chelsea,73,3,1
470,4.583333333333333,3.3154825052206567,470,0.7233780011390524,Ait Nouri,Defender,50.8,925,4.4,Wolves,64,14,4
578,4.583333333333333,4.358029857908759,578,0.9508428780891839,Cornet,Midfielder,59.3,765,5.9,Burnley,62,16,5
579,4.578947368421052,4.705974801293495,579,1.0277416232709933,dos Santos Aveiro,Forward,155.2,1478,12.5,Man Utd,65,9,4
341,4.571428571428571,3.5010202594590702,341,0.7658481817566717,Ward-Prowse,Midfielder,149.9,1865,6.4,Southampton,74,9,3
277,4.545454545454546,4.906043626922214,277,1.079329597922887,Borges Fernandes,Midfielder,194.3,1857,11.7,Man Utd,65,9,4
22,4.5,3.9370039370059056,22,0.8748897637790901,Saka,Midfielder,161.3,1640,6.4,Arsenal,64,5,2
250,4.5,3.723797345005051,250,0.8275105211122336,Gündogan,Midfielder,119.7,1080,7.2,Man City,70,8,3
255,4.5,3.8457084762382245,255,0.8546018836084943,Sterling,Midfielder,154.3,1330,10.8,Man City,70,8,3
544,4.5,6.363961030678928,544,1.414213562373095,Branthwaite,Defender,9.7,145,4.0,Everton,62,8,3
212,4.476190476190476,4.854060646706504,212,1.084417804051453,Maddison,Midfielder,122.5,1429,6.9,Leicester,65,9,3
475,4.454545454545454,3.262007455646391,475,0.7322873880022511,Malheiro de Sá,Goalkeeper,59.0,1980,5.2,Wolves,64,14,4
127,4.434782608695652,4.009376362257509,127,0.9040750620776735,Rüdiger,Defender,90.5,2070,6.1,Chelsea,73,3,1
257,4.434782608695652,2.519489251208768,257,0.5681201252725654,Santana de Moraes,Goalkeeper,34.6,2070,6.1,Man City,70,8,3
413,4.434782608695652,4.208498835759954,413,0.9489752276713622,Antonio,Forward,187.4,2020,7.8,West Ham,68,8,3
231,4.428571428571429,2.9423023055326687,231,0.6643908431847961,Ramses Becker,Goalkeeper,40.2,1890,6.0,Liverpool,66,6,3
399,4.416666666666667,4.337119558025357,399,0.9819893338925336,Sarr,Midfielder,84.2,1030,5.7,Watford,65,12,4
210,4.411764705882353,4.243507151069322,210,0.9618616209090461,Tielemans,Midfielder,112.9,1380,6.4,Leicester,65,9,3
272,4.4,5.358275012642698,272,1.217789775600613,Pogba,Midfielder,67.7,721,7.4,Man Utd,65,9,4
455,4.4,3.4058772731852804,455,0.7740630166330182,Daka,Forward,53.1,509,7.2,Leicester,65,9,3
411,4.352941176470588,3.2775977573252533,411,0.7529616469530988,Cresswell,Defender,82.2,1500,5.3,West Ham,68,8,3
177,4.333333333333333,3.777124126457412,177,0.8716440291824797,Calvert-Lewin,Forward,46.3,518,7.9,Everton,62,8,3
590,4.3125,3.3008837200563934,590,0.7654223118971347,Tomiyasu,Defender,55.7,1384,4.7,Arsenal,64,5,2
419,4.285714285714286,3.537553634121427,419,0.8254291812949996,Benrahma,Midfielder,118.5,1495,5.9,West Ham,68,8,3
367,4.266666666666667,4.5586129887228175,367,1.0684249192319104,Sánchez,Defender,56.2,1199,4.6,Spurs,62,12,4
249,4.214285714285714,2.6941124249447643,249,0.6392809143936728,Walker,Defender,41.5,1215,5.4,Man City,70,8,3
189,4.166666666666667,2.228601953392904,189,0.534864468814297,Bamford,Forward,44.1,458,7.7,Leeds,65,15,4
67,4.15,2.8335397241649978,67,0.6827806564253006,White,Defender,58.3,1800,4.5,Arsenal,64,5,2
123,4.15,4.416178390752277,123,1.0641393712656089,Frello Filho,Midfielder,88.8,1523,5.9,Chelsea,73,3,1
143,4.15,2.6011131220468307,143,0.6267742462763447,Mendy,Goalkeeper,40.6,1800,6.1,Chelsea,73,3,1
353,4.142857142857143,3.037856387088012,353,0.7332756796419339,Lloris,Goalkeeper,50.9,1890,5.4,Spurs,62,12,4
122,4.111111111111111,3.9836266197714405,122,0.9689902588633235,Alonso,Defender,96.5,1429,5.6,Chelsea,73,3,1
224,4.111111111111111,2.8878831834140644,224,0.702458071641259,Matip,Defender,73.8,1620,4.9,Liverpool,66,6,3
370,4.105263157894737,3.541731165563361,370,0.8627293864833828,Reguilón,Defender,100.3,1443,5.4,Spurs,62,12,4
431,4.1,3.6835337724298904,431,0.8984228713243636,Saïss,Defender,72.0,1748,5.0,Wolves,64,14,4
429,4.090909090909091,2.7586934607508695,429,0.6743472904057681,Coady,Defender,56.2,1966,4.7,Wolves,64,14,4
432,4.083333333333333,3.5280263174995867,432,0.8640064451019397,Marçal,Defender,28.8,1016,4.2,Wolves,64,14,4
527,4.071428571428571,4.287087692026007,527,1.0529689068134052,Chalobah,Defender,35.8,907,4.7,Chelsea,73,3,1
307,4.045454545454546,3.046891823407878,307,0.7531642709547562,Saint-Maximin,Forward,159.4,1886,6.9,Newcastle,66,9,3
26,4.0,3.6645015252516173,26,0.9161253813129043,Martinelli Silva,Midfielder,84.7,935,5.4,Arsenal,64,5,2
125,4.0,4.016632088371218,125,1.0041580220928046,Kovacic,Midfielder,73.9,1124,5.0,Chelsea,73,3,1
131,4.0,3.0550504633038935,131,0.7637626158259734,Ziyech,Midfielder,81.8,783,7.3,Chelsea,73,3,1
242,4.0,2.8284271247461903,242,0.7071067811865476,Kelleher,Goalkeeper,4.6,180,4.3,Liverpool,66,6,3
258,4.0,2.449489742783178,258,0.6123724356957945,Aké,Defender,19.5,579,4.7,Man City,70,8,3
264,4.0,3.8297084310253524,264,0.9574271077563381,Zinchenko,Defender,22.9,506,5.3,Man City,70,8,3
270,4.0,2.5761140573281374,270,0.6440285143320343,de Gea,Goalkeeper,65.0,2070,5.3,Man Utd,65,9,4
63,3.95,2.8923674513595627,63,0.732244924394826,Maupay,Forward,103.7,1492,6.5,Brighton,64,11,4
289,3.9444444444444446,3.3689276042406107,289,0.8540943222018449,Greenwood,Midfielder,107.3,1269,7.1,Man Utd,65,9,4
119,3.9411764705882355,2.511737153726832,119,0.6373064419903901,Azpilicueta,Defender,68.4,1389,5.6,Chelsea,73,3,1
173,3.9375,3.0434355587066397,173,0.7729360149096228,Doucouré,Midfielder,78.8,1414,5.3,Everton,62,8,3
296,3.933333333333333,3.348062694981056,296,0.8512023800799295,Wilson,Forward,72.1,1184,7.2,Newcastle,66,9,3
558,3.9,3.0762246170812757,558,0.7887755428413528,Ødegaard,Midfielder,118.6,1372,5.6,Arsenal,64,5,2
586,3.9,3.905461762576529,586,1.0014004519426998,Edouard,Forward,104.6,1166,6.5,Crystal Palace,73,10,4
112,3.8333333333333335,2.8748401490088002,112,0.7499582997414261,Pope,Goalkeeper,45.4,1620,5.4,Burnley,62,16,5
584,3.789473684210526,3.1015936292389554,584,0.8184760966047244,Cucurella,Defender,82.9,1649,5.1,Brighton,64,11,4
437,3.75,2.5930067895256883,437,0.6914684772068502,Cabral Semedo,Defender,72.1,1749,4.8,Wolves,64,14,4
448,3.75,3.862210075418823,448,1.0299226867783529,Gunn,Goalkeeper,9.4,360,4.0,Norwich,69,11,3
585,3.75,2.6299556396765835,585,0.7013215039137556,Roberts,Defender,6.8,285,4.5,Burnley,62,16,5
263,3.736842105263158,3.3307007147839007,263,0.891314275787241,de Jesus,Forward,139.0,1320,8.5,Man City,70,8,3
154,3.7222222222222223,3.5613208976372395,154,0.9567727784697061,Zaha,Midfielder,109.9,1481,6.8,Crystal Palace,73,10,4
345,3.7058823529411766,2.8452747205312385,345,0.7677725436354136,Adams,Forward,83.9,1113,6.8,Southampton,74,9,3
408,3.6956521739130435,2.7041177793185858,408,0.7317024579332644,Fabianski,Goalkeeper,55.8,2070,5.0,West Ham,68,8,3
529,3.6875,3.7897889123274404,529,1.027739366054899,Lukaku,Forward,93.1,1087,11.5,Chelsea,73,3,1
361,3.6842105263157894,2.8294607177369286,361,0.7679964805285949,Dier,Defender,54.2,1631,4.6,Spurs,62,12,4
