,id,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,ict_index,web_name,form,position,value
336,198,Struijk,Leeds,2,0.1,43,1107,10772,3.7,16,39.0,Struijk,2.3,Defender,3.7
337,199,Meslier,Leeds,1,2.2,48,1980,179056,12.3,59,57.3,Meslier,1.7,Goalkeeper,12.3
338,267,Harrison,Leeds,3,2.0,55,1435,219133,11.3,62,102.5,Harrison,8.0,Midfielder,11.3
339,287,James,Leeds,3,0.6,60,1459,152658,10.7,64,102.0,James,5.0,Midfielder,10.7
340,463,Firpo Adames,Leeds,2,0.3,47,926,27199,2.6,12,34.8,Firpo,0.3,Defender,2.6
342,550,Greenwood,Leeds,4,1.6,45,12,322083,0.2,1,0.0,Greenwood,0.0,Forward,0.2
343,551,Summerville,Leeds,3,0.0,45,119,8396,1.1,5,7.1,Summerville,0.0,Midfielder,1.1
344,552,Forshaw,Leeds,3,0.1,45,855,137504,5.6,25,32.0,Forshaw,1.7,Midfielder,5.6
345,562,Drameh,Leeds,2,0.1,39,126,8911,0.0,0,4.0,Drameh,0.0,Defender,0.0
346,563,Cresswell,Leeds,2,0.3,40,95,58050,1.0,4,2.0,Cresswell,0.0,Defender,1.0
347,576,McCarron,Leeds,3,0.0,45,9,1607,0.2,1,0.0,McCarron,0.0,Midfielder,0.2
348,577,Gelhardt,Leeds,4,2.3,46,311,504105,5.0,23,27.5,Gelhardt,0.3,Forward,5.0
350,601,McKinstry,Leeds,3,0.4,43,3,68766,0.2,1,0.0,McKinstry,0.0,Midfielder,0.2
351,608,Hjelde,Leeds,2,0.0,40,67,2491,0.2,1,3.3,Hjelde,0.3,Defender,0.2
352,624,Bate,Leeds,3,0.0,45,42,131088,0.2,1,0.7,Bate,0.3,Midfielder,0.2
356,221,Milner,Liverpool,3,0.1,49,608,11501,5.3,26,40.5,Milner,0.7,Midfielder,5.3
357,222,Henderson,Liverpool,3,2.0,50,1565,423013,14.2,71,93.6,Henderson,1.7,Midfielder,14.2
359,224,Matip,Liverpool,2,2.6,49,1620,647414,15.1,74,73.8,Matip,6.3,Defender,15.1
360,225,Alcántara do Nascimento,Liverpool,3,0.4,53,764,72230,6.4,34,61.9,Thiago,1.0,Midfielder,6.4
362,227,Oxlade-Chamberlain,Liverpool,3,0.3,58,716,33728,6.9,40,50.7,Chamberlain,4.7,Midfielder,6.9
363,228,Firmino,Liverpool,4,3.1,87,658,650701,5.4,47,73.5,Firmino,2.0,Forward,5.4
364,229,van Dijk,Liverpool,2,16.6,67,1890,1473079,16.4,110,85.6,van Dijk,8.0,Defender,16.4
365,230,Mané,Liverpool,3,2.1,117,1710,564445,8.3,97,183.8,Mané,0.0,Midfielder,8.3
366,231,Ramses Becker,Liverpool,1,7.4,60,1890,672386,15.5,93,40.2,Alisson,5.0,Goalkeeper,15.5
367,232,Tavares,Liverpool,3,0.9,54,1431,105658,10.9,59,74.1,Fabinho,7.3,Midfielder,10.9
368,233,Salah,Liverpool,3,42.0,128,1813,3640409,13.9,178,287.2,Salah,0.3,Midfielder,13.9
369,234,Robertson,Liverpool,2,5.7,71,1484,828752,13.8,98,117.6,Robertson,9.7,Defender,13.8
370,235,Origi,Liverpool,4,0.9,48,38,156720,2.9,14,16.8,Origi,0.0,Forward,2.9
371,236,Minamino,Liverpool,3,0.1,51,87,13850,3.5,18,15.0,Minamino,2.7,Midfielder,3.5
372,237,Alexander-Arnold,Liverpool,2,47.3,85,1863,3847461,17.6,150,198.2,Alexander-Arnold,6.0,Defender,17.6
373,238,Gomez,Liverpool,2,0.4,47,15,18613,0.9,4,0.7,Gomez,0.3,Defender,0.9
374,239,Keita,Liverpool,3,0.2,50,525,46779,6.8,34,43.6,Keita,0.0,Midfielder,6.8
375,240,Jota,Liverpool,3,40.0,85,1631,5754119,14.7,125,188.8,Jota,8.0,Midfielder,14.7
377,242,Kelleher,Liverpool,1,0.1,43,180,13656,1.9,8,4.6,Kelleher,0.0,Goalkeeper,1.9
378,243,Konaté,Liverpool,2,1.1,51,630,84280,4.1,21,16.4,Konaté,0.0,Defender,4.1
379,244,Jones,Liverpool,3,0.1,50,559,47202,5.6,28,31.6,Jones,2.0,Midfielder,5.6
380,245,Tsimikas,Liverpool,2,11.7,37,578,1918135,8.9,33,45.8,Tsimikas,0.0,Defender,8.9
381,246,Williams,Liverpool,2,0.7,38,7,76418,1.1,4,3.1,N.Williams,0.0,Defender,1.1
384,506,Elliott,Liverpool,3,0.1,53,280,37376,1.9,10,20.8,Elliott,0.3,Midfielder,1.9
386,620,Morton,Liverpool,3,0.0,45,65,689,0.2,1,0.6,Morton,0.0,Midfielder,0.2
387,625,Gordon,Liverpool,3,0.0,45,8,521,0.2,1,1.4,Gordon,0.3,Midfielder,0.2
392,696,Díaz,Liverpool,3,0.3,80,89,30410,0.4,3,7.9,Luis Díaz,3.0,Midfielder,0.4
393,33,Grealish,Man City,3,7.7,75,1264,1241431,7.7,58,136.4,Grealish,2.0,Midfielder,7.7
394,249,Walker,Man City,2,5.3,54,1215,754114,10.9,59,41.5,Walker,2.7,Defender,10.9
395,250,Gündogan,Man City,3,3.0,72,1080,674753,10.0,72,119.7,Gündogan,0.7,Midfielder,10.0
396,251,De Bruyne,Man City,3,16.0,122,1182,1991397,8.0,97,158.4,De Bruyne,10.0,Midfielder,8.0
397,252,Stones,Man City,2,2.7,52,591,135258,8.7,45,21.9,Stones,4.3,Defender,8.7
398,253,Mendy,Man City,2,0.3,52,78,17911,0.6,3,4.6,Mendy,0.0,Defender,0.6
399,254,Mahrez,Man City,3,3.3,86,905,615917,10.1,87,131.2,Mahrez,3.3,Midfielder,10.1
400,255,Sterling,Man City,3,3.2,108,1330,495979,8.3,90,154.3,Sterling,4.3,Midfielder,8.3
401,256,Cancelo,Man City,2,46.6,72,2057,4748159,19.6,141,156.9,Cancelo,6.7,Defender,19.6
402,257,Santana de Moraes,Man City,1,12.4,61,2070,940099,16.7,102,34.6,Ederson,4.7,Goalkeeper,16.7
403,258,Aké,Man City,2,0.4,47,579,46694,6.8,32,19.5,Aké,0.0,Defender,6.8
404,259,Laporte,Man City,2,9.8,58,1722,1379953,18.4,107,76.7,Laporte,7.7,Defender,18.4
405,260,Steffen,Man City,1,0.2,44,90,16018,1.6,7,2.3,Steffen,0.0,Goalkeeper,1.6
406,261,Veiga de Carvalho e Silva,Man City,3,22.4,74,1973,3865802,15.0,111,174.0,Bernardo,2.7,Midfielder,15.0
407,262,Gato Alves Dias,Man City,2,27.2,63,1861,2293318,16.5,104,80.9,Dias,2.7,Defender,16.5
408,263,de Jesus,Man City,4,5.7,85,1320,2179201,8.4,71,139.0,Jesus,0.7,Forward,8.4
409,264,Zinchenko,Man City,2,0.8,53,506,86935,5.3,28,22.9,Zinchenko,0.0,Defender,5.3
410,265,Foden,Man City,3,7.5,80,1165,2334941,10.1,81,134.5,Foden,2.7,Midfielder,10.1
411,266,Hernandez,Man City,3,1.0,55,1742,198704,12.4,68,99.6,Rodrigo,2.7,Midfielder,12.4
412,268,Torres,Man City,3,2.0,67,303,1732247,3.9,26,32.3,Torres,0.0,Midfielder,3.9
413,453,Luiz Rosa,Man City,3,0.3,48,513,40507,5.8,28,31.1,Fernandinho,0.0,Midfielder,5.8
414,507,Palmer,Man City,3,0.1,45,121,13300,2.0,9,10.2,Palmer,0.0,Midfielder,2.0
422,629,McAtee,Man City,3,0.0,44,3,347,0.2,1,0.0,McAtee,0.0,Midfielder,0.2
426,269,Cavani,Man Utd,4,2.1,84,600,156703,3.5,29,41.3,Cavani,2.0,Forward,3.5
427,270,de Gea,Man Utd,1,15.1,53,2070,1699733,17.4,92,65.0,de Gea,4.0,Goalkeeper,17.4
428,271,Matic,Man Utd,3,0.3,43,759,50408,5.8,25,31.3,Matic,0.5,Midfielder,5.8
429,272,Pogba,Man Utd,3,7.6,74,721,2045384,5.9,44,67.7,Pogba,2.2,Midfielder,5.9
430,273,Maguire,Man Utd,2,5.0,54,1593,297242,8.7,47,50.8,Maguire,1.8,Defender,8.7
431,274,Rodrigues de Paula Santos,Man Utd,3,1.1,49,1427,305774,12.0,59,77.0,Fred,3.2,Midfielder,12.0
432,275,Shaw,Man Utd,2,12.6,50,1269,819126,7.0,35,70.0,Shaw,1.5,Defender,7.0
433,276,Lingard,Man Utd,3,1.0,67,99,57689,3.1,21,18.3,Lingard,0.5,Midfielder,3.1
434,277,Borges Fernandes,Man Utd,3,21.0,117,1857,1966716,8.5,100,194.3,Fernandes,7.0,Midfielder,8.5
435,278,Martial,Man Utd,4,0.5,76,207,30481,1.8,14,14.6,Martial,0.2,Forward,1.8
436,279,Telles,Man Utd,2,0.8,50,737,186444,6.0,30,37.1,Telles,3.0,Defender,6.0
438,281,Rashford,Man Utd,3,1.4,94,728,283099,4.8,45,63.3,Rashford,3.5,Midfielder,4.8
439,283,Tuanzebe,Man Utd,2,0.4,44,505,23217,3.2,14,11.5,Tuanzebe,0.0,Defender,3.2
440,284,Lindelöf,Man Utd,2,0.5,48,1266,78087,7.7,37,33.8,Lindelöf,0.8,Defender,7.7
441,285,McTominay,Man Utd,3,0.6,54,1537,71381,8.9,48,78.1,McTominay,2.0,Midfielder,8.9
442,286,Bailly,Man Utd,2,0.1,49,216,10900,0.4,2,3.7,Bailly,0.0,Defender,0.4
443,288,Wan-Bissaka,Man Utd,2,3.3,51,1343,227686,6.3,32,51.8,Wan-Bissaka,0.0,Defender,6.3
444,289,Greenwood,Man Utd,3,4.7,71,1269,1919269,10.0,71,107.3,Greenwood,4.0,Midfielder,10.0
446,485,Sancho,Man Utd,3,2.1,89,1022,243761,4.9,44,72.5,Sancho,0.8,Midfielder,4.9
448,510,Dalot Teixeira,Man Utd,2,3.8,46,819,504006,7.2,33,40.2,Dalot,3.5,Defender,7.2
450,512,Elanga,Man Utd,3,0.4,48,253,44282,3.1,15,21.1,Elanga,3.2,Midfielder,3.1
451,555,Varane,Man Utd,2,3.6,55,1104,609709,8.4,46,37.0,Varane,3.2,Defender,8.4
452,579,dos Santos Aveiro,Man Utd,4,27.6,125,1478,6413043,7.0,87,155.2,Ronaldo,1.2,Forward,7.0
453,632,Jones,Man Utd,2,0.0,45,90,3930,0.4,2,3.5,Jones,0.0,Defender,0.4
455,19,Willock,Newcastle,3,0.4,57,1228,78956,6.0,34,50.5,Willock,1.7,Midfielder,6.0
456,39,Targett,Newcastle,2,2.0,47,1521,177280,10.6,50,73.5,Targett,0.7,Defender,10.6
457,58,Burn,Newcastle,2,0.2,44,1021,148004,8.4,37,42.2,Burn,1.0,Defender,8.4
458,109,Wood,Newcastle,4,1.6,67,1639,426448,7.8,52,87.4,Wood,2.0,Forward,7.8
459,291,Shelvey,Newcastle,3,0.1,53,1081,19722,7.0,37,47.7,Shelvey,4.3,Midfielder,7.0
460,292,Ritchie,Newcastle,2,0.2,49,1316,34506,3.7,18,73.1,Ritchie,0.0,Defender,3.7
461,293,Clark,Newcastle,2,0.1,44,1012,12566,3.2,14,33.1,Clark,0.3,Defender,3.2
462,294,Darlow,Newcastle,1,0.3,45,720,40331,4.4,20,15.8,Darlow,0.0,Goalkeeper,4.4
463,295,Dubravka,Newcastle,1,0.8,44,900,101274,7.0,31,25.9,Dubravka,4.7,Goalkeeper,7.0
464,296,Wilson,Newcastle,4,1.3,72,1184,697637,8.2,59,72.1,Wilson,0.0,Forward,8.2
465,297,Hendrick,Newcastle,3,0.0,48,69,3981,1.7,8,6.0,Hendrick,0.0,Midfielder,1.7
466,298,Fraser,Newcastle,3,0.1,53,840,16633,8.1,43,48.5,Fraser,6.0,Midfielder,8.1
467,299,Lascelles,Newcastle,2,0.2,44,1598,23900,7.3,32,57.6,Lascelles,3.7,Defender,7.3
468,300,Gayle,Newcastle,4,0.1,52,28,21656,0.8,4,2.0,Gayle,0.0,Forward,0.8
469,301,Dummett,Newcastle,2,0.0,45,152,1586,1.3,6,2.4,Dummett,2.0,Defender,1.3
470,302,Manquillo,Newcastle,2,5.7,39,1063,646781,8.5,33,35.6,Manquillo,1.7,Defender,8.5
471,303,Krafth,Newcastle,2,0.1,43,543,6413,2.6,11,17.6,Krafth,0.0,Defender,2.6
472,304,Murphy,Newcastle,3,0.4,47,809,143458,7.2,34,40.9,Murphy,0.7,Midfielder,7.2
473,305,Schär,Newcastle,2,0.2,43,1060,17915,6.3,27,32.4,Schär,3.0,Defender,6.3
474,306,Hayden,Newcastle,3,0.2,45,1000,55075,6.2,28,28.3,Hayden,0.0,Midfielder,6.2
475,307,Saint-Maximin,Newcastle,4,16.0,69,1886,3128854,12.9,89,159.4,Saint-Maximin,5.0,Forward,12.9
476,308,Almirón,Newcastle,3,0.2,51,974,38179,5.5,28,44.1,Almirón,0.3,Midfielder,5.5
477,309,Longstaff,Newcastle,3,0.5,44,981,128160,7.3,32,35.9,S.Longstaff,1.0,Midfielder,7.3
478,310,Apolinário de Lira,Newcastle,4,0.5,58,1430,125463,7.2,42,86.0,Joelinton,1.7,Forward,7.2
479,311,Lewis,Newcastle,2,0.1,42,261,9040,2.4,10,5.6,Lewis,0.0,Defender,2.4
481,465,Fernández,Newcastle,2,0.1,43,521,6690,2.6,11,21.2,Fernández,0.0,Defender,2.6
482,513,Woodman,Newcastle,1,0.3,43,360,50848,2.1,9,9.0,Woodman,0.0,Goalkeeper,2.1
486,678,Trippier,Newcastle,2,1.0,50,270,109494,3.4,17,21.9,Trippier,5.7,Defender,3.4
487,697,Guimarães Rodriguez Moura,Newcastle,3,0.2,50,1,22795,0.2,1,1.6,Bruno Guimarães,1.0,Midfielder,0.2
488,145,Gilmour,Norwich,3,3.3,43,1079,462721,6.5,28,53.4,Gilmour,0.2,Midfielder,6.5
489,290,Williams,Norwich,2,5.5,39,1403,894207,8.2,32,48.6,Williams,3.8,Defender,8.2
491,314,Krul,Norwich,1,1.2,45,1710,139099,12.0,54,51.4,Krul,1.2,Goalkeeper,12.0
492,315,Pukki,Norwich,4,4.7,58,1905,1004993,13.6,79,103.8,Pukki,4.2,Forward,13.6
494,317,Rupp,Norwich,3,0.2,44,472,47782,3.2,14,28.3,Rupp,0.0,Midfielder,3.2
495,318,McLean,Norwich,3,0.1,49,1824,16391,8.8,43,52.8,McLean,1.5,Midfielder,8.8
496,319,Hanley,Norwich,2,0.1,44,1637,24051,11.1,49,58.3,Hanley,2.8,Defender,11.1
498,321,Byram,Norwich,2,0.0,44,151,2168,0.5,2,8.2,Byram,0.5,Defender,0.5
500,323,Dowell,Norwich,3,0.0,51,337,1863,2.7,14,14.7,Dowell,0.2,Midfielder,2.7
502,325,Cantwell,Norwich,3,0.2,53,438,28054,1.9,10,10.3,Cantwell,0.0,Midfielder,1.9
503,326,Aarons,Norwich,2,1.0,43,1969,85980,10.0,43,68.1,Aarons,2.5,Defender,10.0
504,327,Sørensen,Norwich,2,0.0,43,368,1278,1.9,8,16.4,Sørensen,0.8,Defender,1.9
505,328,Placheta,Norwich,3,0.0,47,427,2593,3.0,14,21.6,Placheta,1.2,Midfielder,3.0
506,329,Idah,Norwich,4,1.5,49,617,185890,7.3,36,38.5,Idah,5.2,Forward,7.3
508,331,Omobamidele,Norwich,2,2.6,39,381,480217,3.6,14,16.8,Omobamidele,0.0,Defender,3.6
509,448,Gunn,Norwich,1,1.6,40,360,115216,3.8,15,9.4,Gunn,3.2,Goalkeeper,3.8
510,449,Rashica,Norwich,3,0.1,52,1145,16996,7.1,37,68.9,Rashica,3.0,Midfielder,7.1
511,456,Gibson,Norwich,2,0.1,44,1684,6318,8.0,35,55.7,Gibson,2.8,Defender,8.0
512,457,Giannoulis,Norwich,2,0.1,44,542,5266,5.2,23,23.2,Giannoulis,0.2,Defender,5.2
513,471,Lees-Melou,Norwich,3,0.1,48,1324,14238,7.1,34,60.9,Lees-Melou,2.2,Midfielder,7.1
514,515,Mumba,Norwich,2,0.2,39,45,18099,0.0,0,1.3,Mumba,0.0,Defender,0.0
515,516,Sargent,Norwich,4,0.3,54,1067,54257,8.1,44,55.4,Sargent,4.2,Forward,8.1
516,528,Tzolis,Norwich,3,0.0,48,301,5235,2.7,13,23.8,Tzolis,0.5,Midfielder,2.7
517,580,Kabak,Norwich,2,0.1,43,743,10554,3.7,16,21.8,Kabak,0.0,Defender,3.7
518,581,Normann,Norwich,3,0.1,45,718,66282,6.0,27,34.8,Normann,0.2,Midfielder,6.0
520,648,Rowe,Norwich,3,0.0,44,43,884,0.7,3,1.8,Rowe,0.5,Midfielder,0.7
524,332,Walcott,Southampton,3,0.1,58,376,6512,2.1,12,9.7,Walcott,0.3,Midfielder,2.1
525,333,Forster,Southampton,1,0.8,44,540,49701,3.6,16,18.0,Forster,1.3,Goalkeeper,3.6
526,334,McCarthy,Southampton,1,1.5,44,1350,469894,12.0,53,31.7,McCarthy,0.0,Goalkeeper,12.0
527,335,Romeu Vidal,Southampton,3,0.4,45,1819,69128,9.3,42,72.9,Romeu,1.7,Midfielder,9.3
528,336,Redmond,Southampton,3,0.2,59,1337,53896,10.0,59,88.9,Redmond,3.0,Midfielder,10.0
529,338,Stephens,Southampton,2,0.1,44,486,3242,2.3,10,16.8,Stephens,0.0,Defender,2.3
530,339,Armstrong,Southampton,3,0.1,58,423,10117,2.1,12,26.5,S.Armstrong,1.3,Midfielder,2.1
531,341,Ward-Prowse,Southampton,3,3.8,64,1865,443130,15.0,96,149.9,Ward-Prowse,6.3,Midfielder,15.0
532,342,Walker-Peters,Southampton,2,0.5,48,1346,54032,9.6,46,66.0,Walker-Peters,3.0,Defender,9.6
533,343,Bednarek,Southampton,2,1.1,44,1504,141927,14.5,64,68.9,Bednarek,0.3,Defender,14.5
535,345,Adams,Southampton,4,0.9,68,1113,252180,9.3,63,83.9,Adams,3.3,Forward,9.3
536,346,Tella,Southampton,3,0.0,47,585,6050,3.6,17,22.4,Tella,0.7,Midfielder,3.6
537,347,Smallbone,Southampton,3,0.0,45,69,23419,0.4,2,2.6,Smallbone,0.0,Midfielder,0.4
539,349,Diallo,Southampton,3,0.2,45,733,25837,8.0,36,36.1,Diallo,1.0,Midfielder,8.0
540,350,Djenepo,Southampton,3,0.0,52,427,4551,1.7,9,25.3,Djenepo,0.0,Midfielder,1.7
541,351,Salisu,Southampton,2,0.2,45,1891,39156,8.9,40,77.9,Salisu,1.3,Defender,8.9
542,460,Perraud,Southampton,2,0.1,48,971,8895,5.8,28,28.3,Perraud,2.0,Defender,5.8
543,491,Livramento,Southampton,2,10.1,43,1615,2353682,12.6,54,67.0,Livramento,0.0,Defender,12.6
544,517,Elyounoussi,Southampton,3,0.1,54,1038,33919,8.7,47,75.4,Elyounoussi,3.0,Midfielder,8.7
545,518,Broja,Southampton,4,7.2,52,1048,1214731,13.5,70,73.5,Broja,3.3,Forward,13.5
546,519,Long,Southampton,4,0.2,54,108,27103,0.9,5,5.6,Long,0.3,Forward,0.9
547,525,Armstrong,Southampton,4,1.6,57,1194,814383,8.8,50,87.4,A.Armstrong,0.3,Forward,8.8
548,546,Valery,Southampton,2,0.5,39,90,62426,0.5,2,1.7,Valery,0.0,Defender,0.5
549,567,Silveira Neves Vojnovic,Southampton,2,0.0,44,546,1782,2.3,10,17.3,Lyanco,0.3,Defender,2.3
551,641,Caballero,Southampton,1,0.0,43,180,9036,0.5,2,5.4,Caballero,0.0,Goalkeeper,0.5
556,353,Lloris,Spurs,1,8.4,54,1890,1115435,16.1,87,50.9,Lloris,2.0,Goalkeeper,16.1
559,357,Kane,Spurs,4,13.1,123,1701,2313680,5.5,68,148.6,Kane,5.0,Forward,5.5
561,359,Son,Spurs,3,14.4,107,1573,4152316,10.7,115,166.8,Son,2.3,Midfielder,10.7
562,360,Doherty,Spurs,2,0.3,47,234,14538,1.9,9,27.8,Doherty,1.7,Defender,1.9
563,361,Dier,Spurs,2,4.5,46,1631,1218945,15.2,70,54.2,Dier,0.3,Defender,15.2
564,362,Rodrigues Moura da Silva,Spurs,3,4.4,65,1407,921310,10.2,66,104.8,Lucas Moura,2.7,Midfielder,10.2
565,364,Davies,Spurs,2,1.9,45,1020,272125,8.9,40,40.1,Davies,1.0,Defender,8.9
566,365,Højbjerg,Spurs,3,3.0,49,1756,567428,13.9,68,89.6,Højbjerg,2.7,Midfielder,13.9
567,366,Winks,Spurs,3,1.2,44,614,153155,4.8,21,30.5,Winks,3.0,Midfielder,4.8
568,367,Sánchez,Spurs,2,3.2,46,1199,521097,13.9,64,56.2,Sánchez,0.3,Defender,13.9
569,368,Sessegnon,Spurs,2,0.1,43,219,3935,1.9,8,5.9,Sessegnon,0.0,Defender,1.9
570,369,Bergwijn,Spurs,3,0.4,59,417,143228,6.1,36,38.8,Bergwijn,5.3,Midfielder,6.1
571,370,Reguilón,Spurs,2,16.6,54,1443,2970211,14.4,78,100.3,Reguilón,0.7,Defender,14.4
572,371,Tanganga,Spurs,2,1.0,42,735,404311,6.9,29,27.5,Tanganga,0.0,Defender,6.9
573,372,Lo Celso,Spurs,3,0.1,59,231,7998,1.9,11,16.8,Lo Celso,0.3,Midfielder,1.9
574,373,Skipp,Spurs,3,0.7,44,1346,307154,7.7,34,37.4,Skipp,1.0,Midfielder,7.7
575,374,Rodon,Spurs,2,0.1,42,78,3381,0.2,1,1.9,Rodon,0.0,Defender,0.2
576,375,Ndombele,Spurs,3,0.3,57,481,28911,3.9,22,30.4,Ndombele,0.0,Midfielder,3.9
578,487,Gil Salvatierra,Spurs,3,0.1,57,86,5361,1.6,9,8.5,Bryan,0.3,Midfielder,1.6
579,494,Romero,Spurs,2,0.3,48,623,29755,2.7,13,18.6,Romero,0.0,Defender,2.7
581,588,Leite de Souza Junior,Spurs,2,1.9,49,1328,320988,9.4,46,68.9,Emerson Royal,0.7,Defender,9.4
586,701,Kulusevski,Spurs,3,0.1,60,14,12102,0.2,1,1.4,Kulusevski,1.0,Midfielder,0.2
587,702,Bentancur,Spurs,3,0.0,50,30,4164,0.2,1,2.6,Bentancur,1.0,Midfielder,0.2
588,354,Sissoko,Watford,3,2.3,44,1780,456872,9.5,42,65.8,Sissoko,2.0,Midfielder,9.5
589,376,Foster,Watford,1,18.7,41,990,977313,9.3,38,25.2,Foster,2.5,Goalkeeper,9.3
590,377,Rose,Watford,2,0.2,42,688,21489,1.7,7,22.4,Rose,0.0,Defender,1.7
591,378,Gosling,Watford,3,0.0,47,21,1840,0.2,1,0.3,Gosling,0.0,Midfielder,0.2
592,379,Cathcart,Watford,2,0.4,43,1644,58429,6.7,29,40.0,Cathcart,2.5,Defender,6.7
593,380,Deeney,Watford,4,0.3,54,23,36912,0.4,2,2.7,Deeney,0.0,Forward,0.4
594,381,Cleverley,Watford,3,0.1,48,892,22026,5.6,27,48.9,Cleverley,1.0,Midfielder,5.6
595,382,Femenía Far,Watford,2,0.2,43,1127,25387,7.0,30,44.0,Femenía,3.5,Defender,7.0
597,384,Kabasele,Watford,2,0.0,43,292,2480,0.9,4,8.7,Kabasele,0.2,Defender,0.9
599,387,Troost-Ekong,Watford,2,0.1,43,1376,16881,4.0,17,28.2,Troost-Ekong,0.0,Defender,4.0
601,389,Bachmann,Watford,1,2.2,42,990,369563,5.2,22,30.2,Bachmann,0.2,Goalkeeper,5.2
602,390,Masina,Watford,2,0.1,43,866,7031,2.8,12,29.2,Masina,0.0,Defender,2.8
603,391,Sema,Watford,3,0.0,52,514,2367,2.9,15,15.2,Sema,1.0,Midfielder,2.9
607,395,Fletcher,Watford,4,0.3,48,28,36236,0.6,3,3.0,Fletcher,0.0,Forward,0.6
608,396,Sierralta,Watford,2,0.0,43,427,4102,1.2,5,11.5,Sierralta,0.0,Defender,1.2
611,399,Sarr,Watford,3,2.8,57,1030,1896960,9.3,53,84.2,Sarr,0.0,Midfielder,9.3
612,400,Ngakia,Watford,2,0.0,43,564,2953,3.3,14,15.4,Ngakia,0.8,Defender,3.3
615,403,Louza,Watford,3,0.0,52,436,132305,1.9,10,21.4,Louza,0.2,Midfielder,1.9
616,404,Junqueira de Jesus,Watford,4,0.7,54,812,99484,6.7,36,77.0,João Pedro,3.2,Forward,6.7
618,450,Dennis,Watford,4,37.5,62,1553,5679846,15.3,95,140.3,Dennis,0.8,Forward,15.3
620,467,Etebo,Watford,3,0.1,43,369,33908,1.6,7,8.9,Etebo,0.0,Midfielder,1.6
621,468,King,Watford,4,8.8,59,1626,1753891,11.9,70,132.3,King,1.8,Forward,11.9
623,472,Hernández Suárez,Watford,4,1.5,50,695,428786,6.8,34,64.6,Cucho,0.8,Forward,6.8
624,495,Kucka,Watford,3,0.2,55,1438,140463,6.4,35,55.1,Kucka,1.5,Midfielder,6.4
625,557,Tufan,Watford,3,0.0,50,334,2095,2.0,10,9.0,Tufan,0.0,Midfielder,2.0
627,618,Nkoulou,Watford,2,0.0,44,167,852,1.1,5,3.5,Nkoulou,0.0,Defender,1.1
631,676,Kamara,Watford,2,0.1,45,353,15671,3.1,14,15.3,Kamara,3.5,Defender,3.1
632,677,Caetano de Souza Santos,Watford,2,0.0,45,360,2668,2.2,10,13.0,Samir,2.5,Defender,2.2
633,679,Kayembe,Watford,3,0.0,49,325,3506,2.0,10,11.7,Kayembe,2.5,Midfielder,2.0
635,128,Zouma,West Ham,2,1.1,54,1150,160157,7.6,41,36.9,Zouma,2.2,Defender,7.6
636,406,Noble,West Ham,3,0.7,44,94,104447,2.0,9,7.7,Noble,0.0,Midfielder,2.0
638,408,Fabianski,West Ham,1,3.0,50,2070,346730,17.0,85,55.8,Fabianski,3.5,Goalkeeper,17.0
639,409,Ogbonna,West Ham,2,0.3,49,921,81264,8.2,40,24.0,Ogbonna,0.0,Defender,8.2
641,411,Cresswell,West Ham,2,7.4,53,1500,908849,14.0,74,82.2,Cresswell,5.5,Defender,14.0
642,412,Yarmolenko,West Ham,3,0.1,51,87,7253,2.0,10,11.9,Yarmolenko,0.2,Midfielder,2.0
643,413,Antonio,West Ham,4,39.5,78,2020,7077535,13.1,102,187.4,Antonio,2.5,Forward,13.1
644,414,Dawson,West Ham,2,0.9,49,1611,114319,9.6,47,64.5,Dawson,3.8,Defender,9.6
645,415,Fredericks,West Ham,2,0.1,44,22,4696,0.5,2,0.2,Fredericks,0.2,Defender,0.5
646,416,Lanzini,West Ham,3,0.6,58,884,126794,10.2,59,64.1,Lanzini,2.5,Midfielder,10.2
647,417,Masuaku,West Ham,2,0.3,44,499,54436,6.1,27,24.3,Masuaku,1.2,Defender,6.1
648,418,Coufal,West Ham,2,6.6,48,1611,699031,11.9,57,76.5,Coufal,6.0,Defender,11.9
649,419,Benrahma,West Ham,3,12.2,59,1495,4066235,15.3,90,118.5,Benrahma,0.2,Midfielder,15.3
650,420,Bowen,West Ham,3,31.5,69,2038,3426559,19.6,135,192.2,Bowen,9.0,Midfielder,19.6
651,421,Rice,West Ham,3,4.7,51,2070,636463,13.3,68,99.5,Rice,2.2,Midfielder,13.3
652,422,Soucek,West Ham,3,3.7,57,1968,352005,12.8,73,114.5,Soucek,1.2,Midfielder,12.8
653,423,Fornals,West Ham,3,1.5,60,1692,571100,13.5,81,116.4,Fornals,4.0,Midfielder,13.5
654,424,Diop,West Ham,2,0.5,43,716,48599,4.7,20,15.8,Diop,2.0,Defender,4.7
655,425,Johnson,West Ham,2,3.3,40,802,498435,7.5,30,31.8,Johnson,0.0,Defender,7.5
656,489,Areola,West Ham,1,0.7,47,90,139850,0.4,2,2.0,Areola,0.5,Goalkeeper,0.4
660,582,Vlasic,West Ham,3,0.0,57,352,9414,3.5,20,20.5,Vlasic,1.2,Midfielder,3.5
661,589,Kral,West Ham,3,0.1,44,1,24934,0.2,1,0.0,Kral,0.0,Midfielder,0.2
662,617,Ashby,West Ham,2,0.0,40,6,3970,0.2,1,0.3,Ashby,0.0,Defender,0.2
