,id,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,ict_index,web_name,form,position,value
65,337,Ings,Aston Villa,4,7.7,77,1118,1319410,7.1,55,67.6,Ings,0.7,Forward,7.1
66,492,Bailey,Aston Villa,3,0.4,63,420,78888,4.3,27,37.2,Bailey,0.0,Midfielder,4.3
68,497,Philogene-Bidace,Aston Villa,3,0.0,50,4,1105,0.2,1,0.0,Philogene-Bidace,0.0,Midfielder,0.2
69,526,Chukwuemeka,Aston Villa,3,0.0,45,181,6489,2.7,12,11.4,Chukwuemeka,1.0,Midfielder,2.7
70,568,Archer,Aston Villa,4,1.1,45,24,271066,0.7,3,1.6,Archer,0.0,Forward,0.7
76,681,Coutinho Correia,Aston Villa,3,15.2,72,172,1439176,3.5,25,23.6,Coutinho,8.3,Midfielder,3.5
80,76,Jansson,Brentford,2,6.5,45,2151,1301373,14.9,67,70.6,Jansson,0.8,Defender,14.9
81,77,Nørgaard,Brentford,3,0.6,50,2036,186198,11.2,56,98.4,Nørgaard,2.5,Midfielder,11.2
82,78,Toney,Brentford,4,10.4,66,1890,2364826,11.7,77,147.0,Toney,4.2,Forward,11.7
84,80,Raya Martin,Brentford,1,3.1,43,900,928055,8.4,36,22.2,Raya,0.5,Goalkeeper,8.4
85,81,Canós,Brentford,3,1.2,55,1706,410757,11.8,65,84.5,Canós,1.8,Midfielder,11.8
86,82,Dasilva,Brentford,3,0.0,53,28,674,0.2,1,0.5,Dasilva,0.2,Midfielder,0.2
87,83,Henry,Brentford,2,1.0,45,1563,245443,12.9,58,52.5,Henry,1.0,Defender,12.9
88,84,Janelt,Brentford,3,0.1,50,1347,36006,10.2,51,75.1,Janelt,1.5,Midfielder,10.2
89,85,Ghoddos,Brentford,3,0.0,53,409,2993,4.5,24,32.5,Ghoddos,0.8,Midfielder,4.5
90,86,Jensen,Brentford,3,0.0,49,933,13066,6.7,33,64.5,Jensen,1.5,Midfielder,6.7
91,87,Goode,Brentford,2,1.4,39,448,341735,2.6,10,16.0,Goode,0.0,Defender,2.6
92,88,Forss,Brentford,4,0.1,53,203,25518,2.1,11,8.7,Forss,0.2,Forward,2.1
93,89,Roerslev Rasmussen,Brentford,2,0.1,43,901,13287,6.5,28,31.3,Roerslev,1.0,Defender,6.5
